cores cells	iterations	compute_time	comp_comm_time	compute_flops	comp-comm-flops
1	1048576	1904	90.13	90.21	5980827139.47	5975523224.48
2	2097152	3820	180.91	182.25	11956235547.0	11868326874.1
3	3145728	5722	280.02	280.96	17355763932.3	17297697239.2
4	4194304	7639	360.47	504.01	23998884315.3	17164099579.6
5	5242880	9544	468.11	473.73	28861320233.3	28518929800.5
6	6291456	11444	561.43	563.75	34625588346.3	34483093685.6
7	7340032	13363	662.26	683.89	39988688515.6	38723930539.0
8	8388608	15279	744.48	783.47	46483150978.7	44169880455.7
9	9437184	17164	891.85	1246.96	49038014315.8	35072939843.7
10	10485760	19087	958.57	1023.29	56373826953.1	52808352766.5
11	11534336	21002	1554.41	1949.77	42077645963.1	33545450828.3
12	12582912	22917	1298.15	1381.98	59976043186.1	56337935760.3
13	13631488	24819	1462.12	1507.75	62475291481.8	60584561884.6
14	14680064	26728	1545.23	1551.49	68559090012.4	68282465668.4
15	15728640	28626	1743.53	1749.68	69724623684.6	69479546621.6
16	16777216	30553	1709.27	2381.20	80970505374.2	58127028262.0
